,0_Strip_s3_000,0_Strip_s3_001,0_Strip_s3_002,0_Strip_s3_003,1_Excavated_s0_000,1_Excavated_s1_000,1_Excavated_s1_001,1_Excavated_s1_002,1_Excavated_s1_003,1_Excavated_s2_000,1_Excavated_s3_000,2_Default_s0_000,2_Default_s0_001,2_Default_s0_002,2_Default_s0_003,2_Default_s1_000,2_Default_s1_001,2_Default_s1_002,2_Default_s1_003,2_Default_s1_004,2_Default_s1_005,2_Default_s1_006,2_Default_s1_007,2_Default_s1_008,2_Default_s1_009,2_Default_s1_010,2_Default_s1_011,2_Default_s1_012,2_Default_s1_013,2_Default_s1_014,2_Default_s1_015,2_Default_s1_016,2_Default_s1_017,2_Default_s1_018,2_Default_s1_019,2_Default_s1_020,2_Default_s1_021,2_Default_s1_022,2_Default_s1_023,2_Default_s2_000,2_Default_s2_001,2_Default_s2_002,2_Default_s2_003,2_Default_s3_000,2_Default_s3_001,2_Default_s3_002,2_Default_s3_003,2_Default_s3_004,2_Default_s3_005,2_Default_s3_006,2_Default_s3_007,2_Default_s3_008,2_Default_s3_009,2_Default_s3_010,2_Default_s3_011,2_Default_s3_012,2_Default_s3_013,2_Default_s3_014,2_Default_s3_015,2_Default_s3_016,2_Default_s3_017,2_Default_s3_018,2_Default_s3_019,2_Default_s3_020,2_Default_s3_021,2_Default_s3_022,2_Default_s3_023,2_Default_s3_024,2_Default_s3_025,2_Default_s3_026,2_Default_s3_027,2_Default_s4_000,2_Default_s4_001,2_Default_s4_002,2_Default_s4_003,2_Default_s4_004,3_Blotch_s0_000,3_Blotch_s0_001,3_Blotch_s1_000,3_Blotch_s1_001,3_Blotch_s1_002,3_Blotch_s1_003,3_Blotch_s3_000,3_Blotch_s3_001,4_Incomp_Disc_s0_000,4_Incomp_Disc_s1_000,4_Incomp_Disc_s1_001,4_Incomp_Disc_s1_002,4_Incomp_Disc_s1_003,4_Incomp_Disc_s1_004,4_Incomp_Disc_s1_005,4_Incomp_Disc_s2_000,4_Incomp_Disc_s2_001,4_Incomp_Disc_s2_002,4_Incomp_Disc_s3_000,4_Incomp_Disc_s3_001,4_Incomp_Disc_s3_002,4_Incomp_Disc_s3_003,4_Incomp_Disc_s3_004,4_Incomp_Disc_s3_005,4_Incomp_Disc_s3_006,4_Incomp_Disc_s3_007,4_Incomp_Disc_s3_008,4_Incomp_Disc_s3_009,4_Incomp_Disc_s3_010,4_Incomp_Disc_s3_011,4_Incomp_Disc_s3_012,4_Incomp_Disc_s3_013,4_Incomp_Disc_s4_000,4_Incomp_Disc_s4_001,5_Comp_Disc_s1_000,5_Comp_Disc_s3_000,5_Comp_Disc_s4_000,6_Incomp_Donut_s3_000,
0_Strip_s3_000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SURR_BY,NULL,NULL,NULL,NULL,NULL,INDIR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SURR_BY_INV,SURR_BY_INV,NULL,NULL,SURR_BY_INV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SURR_BY_INV,NULL,SURR_BY_INV,SURR_BY_INV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DIR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SURR_BY_INV,SURR_BY_INV,NULL,NULL,SURR_BY_INV,NULL,
0_Strip_s3_001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
0_Strip_s3_002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SURR_BY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
0_Strip_s3_003,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
1_Excavated_s0_000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
1_Excavated_s1_000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SURR_BY,NULL,SURR_BY_INV,NULL,SURR_BY_INV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SURR_BY_INV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SURR_BY_INV,SURR_BY_INV,NULL,SURR_BY_INV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SURR_BY_INV,NULL,INDIR,NULL,NULL,NULL,NULL,SURR_BY_INV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SURR_BY_INV,NULL,NULL,NULL,NULL,SURR_BY_INV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
1_Excavated_s1_001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SURR_BY,INDIR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INDIR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INDIR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INDIR,
1_Excavated_s1_002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DIR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INDIR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
1_Excavated_s1_003,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DIR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INDIR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
1_Excavated_s2_000,SURR_BY_INV,NULL,SURR_BY_INV,NULL,NULL,SURR_BY_INV,SURR_BY_INV,DIR,DIR,NULL,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,NULL,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,NULL,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,NULL,NULL,INDIR,SURR_BY_INV,NULL,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,NULL,SURR_BY_INV,SURR_BY_INV,NULL,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,NULL,NULL,NULL,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,NULL,NULL,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,DIR,INDIR,NULL,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,NULL,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,DIR,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,NULL,NULL,NULL,SURR_BY_INV,NULL,NULL,SURR_BY_INV,SURR_BY_INV,SURR_BY_INV,NULL,SURR_BY_INV,SURR_BY_INV,NULL,SURR_BY_INV,SURR_BY_INV,NULL,SURR_BY_INV,NULL,NULL,NULL,NULL,SURR_BY_INV,NULL,SURR_BY_INV,SURR_BY_INV,DIR,
