,1_Default_s0_000,1_Default_s0_001,1_Default_s0_002,1_Default_s1_000,1_Default_s1_001,1_Default_s1_002,1_Default_s2_000,1_Default_s2_001,1_Default_s2_002,1_Default_s3_000,1_Default_s3_001,1_Default_s3_002,1_Default_s3_003,1_Default_s3_004,1_Default_s3_005,1_Default_s4_000,2_Blotch_s0_000,2_Blotch_s0_001,2_Blotch_s3_000,2_Blotch_s3_001,2_Blotch_s3_002,2_Blotch_s3_003,2_Blotch_s3_004,3_Incomp_Disc_s1_000,3_Incomp_Disc_s3_000,3_Incomp_Disc_s3_001,3_Incomp_Disc_s3_002,3_Incomp_Disc_s4_000,4_Comp_Disc_s2_000,6_Comp_Donut_s1_000,6_Comp_Donut_s3_000,6_Comp_Donut_s4_000,
1_Default_s0_000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,1,0,0,0,19,18,21,16,
1_Default_s0_001,1,0,1,1,0,0,1,0,0,5,0,0,0,1,0,3,2,1,7,0,1,0,0,1,0,0,0,0,15,15,14,15,
1_Default_s0_002,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,6,6,6,6,
1_Default_s1_000,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,15,1,1,0,0,1,0,0,0,0,24,23,23,15,
1_Default_s1_001,1,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2,1,13,1,1,1,0,0,1,0,1,1,24,23,24,21,
1_Default_s1_002,2,1,1,1,1,0,0,0,1,1,8,2,0,0,0,0,1,0,10,2,1,1,0,0,0,0,1,0,24,21,24,23,
1_Default_s2_000,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,2,10,7,0,1,0,0,0,1,0,1,1,24,24,24,23,
1_Default_s2_001,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,5,0,5,1,1,0,0,0,0,1,0,1,12,9,24,24,
1_Default_s2_002,10,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,24,24,24,23,
1_Default_s3_000,1,5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,14,13,13,13,
