0) 0_Strip_s0_000: 28 | 0_Strip_s0_000: 41
1) 0_Strip_s1_000: 0 | 0_Strip_s1_000: 215
2) 0_Strip_s1_001: 0 | 0_Strip_s1_001: 36
3) 0_Strip_s3_000: 39 | 0_Strip_s3_000: 14
4) 0_Strip_s4_000: 0 | 0_Strip_s4_000: 15
5) 0_Strip_s4_001: 0 | 0_Strip_s4_001: 11
6) 0_Strip_s4_002: 0 | 0_Strip_s4_002: 6
7) 1_Default_s0_000: 7 | 1_Default_s0_000: 0
8) 1_Default_s1_000: 5 | 1_Default_s1_000: 1366
9) 1_Default_s1_001: 0 | 1_Default_s1_001: 36
10) 1_Default_s1_002: 0 | 1_Default_s1_002: 6
11) 1_Default_s1_003: 0 | 1_Default_s1_003: 5
12) 1_Default_s1_004: 0 | 1_Default_s1_004: 4
13) 1_Default_s1_005: 0 | 1_Default_s1_005: 4
14) 1_Default_s1_006: 0 | 1_Default_s1_006: 4
15) 1_Default_s1_007: 0 | 1_Default_s1_007: 4
16) 1_Default_s1_008: 0 | 1_Default_s1_008: 4
17) 1_Default_s1_009: 0 | 1_Default_s1_009: 3
18) 1_Default_s2_000: 3 | 1_Default_s2_000: 0
19) 1_Default_s3_000: 29 | 1_Default_s3_000: 65
20) 1_Default_s3_001: 20 | 1_Default_s3_001: 60
21) 1_Default_s3_002: 15 | 1_Default_s3_002: 43
22) 1_Default_s3_003: 4 | 1_Default_s3_003: 11
23) 1_Default_s3_004: 0 | 1_Default_s3_004: 10
24) 1_Default_s3_005: 0 | 1_Default_s3_005: 6
25) 1_Default_s3_006: 0 | 1_Default_s3_006: 6
26) 1_Default_s3_007: 0 | 1_Default_s3_007: 5
27) 1_Default_s3_008: 0 | 1_Default_s3_008: 4
28) 1_Default_s3_009: 0 | 1_Default_s3_009: 4
29) 1_Default_s3_010: 0 | 1_Default_s3_010: 4
30) 1_Default_s3_011: 0 | 1_Default_s3_011: 4
31) 1_Default_s4_000: 0 | 1_Default_s4_000: 68
32) 1_Default_s4_001: 0 | 1_Default_s4_001: 10
33) 1_Default_s4_002: 0 | 1_Default_s4_002: 7
34) 1_Default_s4_003: 0 | 1_Default_s4_003: 5
35) 2_Blotch_s0_000: 167 | 2_Blotch_s0_000: 0
36) 2_Blotch_s0_001: 21 | 2_Blotch_s0_001: 0
37) 2_Blotch_s1_000: 5 | 2_Blotch_s1_000: 18
38) 2_Blotch_s1_001: 4 | 2_Blotch_s1_001: 10
39) 2_Blotch_s1_002: 0 | 2_Blotch_s1_002: 9
40) 2_Blotch_s1_003: 0 | 2_Blotch_s1_003: 5
41) 2_Blotch_s1_004: 0 | 2_Blotch_s1_004: 5
42) 2_Blotch_s1_005: 0 | 2_Blotch_s1_005: 3
43) 2_Blotch_s1_006: 0 | 2_Blotch_s1_006: 3
44) 2_Blotch_s1_007: 0 | 2_Blotch_s1_007: 2
45) 2_Blotch_s1_008: 0 | 2_Blotch_s1_008: 2
46) 2_Blotch_s1_009: 0 | 2_Blotch_s1_009: 2
47) 2_Blotch_s1_010: 0 | 2_Blotch_s1_010: 2
48) 2_Blotch_s1_011: 0 | 2_Blotch_s1_011: 2
49) 2_Blotch_s2_000: 2 | 2_Blotch_s2_000: 0
50) 2_Blotch_s2_001: 2 | 2_Blotch_s2_001: 0
51) 2_Blotch_s3_000: 1161 | 2_Blotch_s3_000: 2292
52) 2_Blotch_s3_001: 21 | 2_Blotch_s3_001: 66
53) 2_Blotch_s3_002: 10 | 2_Blotch_s3_002: 13
54) 2_Blotch_s3_003: 4 | 2_Blotch_s3_003: 10
55) 2_Blotch_s3_004: 3 | 2_Blotch_s3_004: 10
56) 2_Blotch_s3_005: 3 | 2_Blotch_s3_005: 9
57) 2_Blotch_s3_006: 2 | 2_Blotch_s3_006: 5
58) 2_Blotch_s3_007: 2 | 2_Blotch_s3_007: 5
59) 2_Blotch_s3_008: 0 | 2_Blotch_s3_008: 5
60) 2_Blotch_s3_009: 0 | 2_Blotch_s3_009: 5
61) 2_Blotch_s3_010: 0 | 2_Blotch_s3_010: 4
62) 2_Blotch_s3_011: 0 | 2_Blotch_s3_011: 3
63) 2_Blotch_s3_012: 0 | 2_Blotch_s3_012: 3
64) 2_Blotch_s3_013: 0 | 2_Blotch_s3_013: 2
65) 2_Blotch_s3_014: 0 | 2_Blotch_s3_014: 2
66) 2_Blotch_s3_015: 0 | 2_Blotch_s3_015: 2
67) 2_Blotch_s3_016: 0 | 2_Blotch_s3_016: 2
68) 2_Blotch_s3_017: 0 | 2_Blotch_s3_017: 2
69) 2_Blotch_s3_018: 0 | 2_Blotch_s3_018: 2
70) 2_Blotch_s3_019: 0 | 2_Blotch_s3_019: 2
71) 2_Blotch_s3_020: 0 | 2_Blotch_s3_020: 1
72) 2_Blotch_s3_021: 0 | 2_Blotch_s3_021: 1
73) 2_Blotch_s3_022: 0 | 2_Blotch_s3_022: 1
74) 2_Blotch_s3_023: 0 | 2_Blotch_s3_023: 1
75) 2_Blotch_s3_024: 0 | 2_Blotch_s3_024: 1
76) 2_Blotch_s3_025: 0 | 2_Blotch_s3_025: 1
77) 2_Blotch_s3_026: 0 | 2_Blotch_s3_026: 1
78) 2_Blotch_s3_027: 0 | 2_Blotch_s3_027: 1
79) 2_Blotch_s4_000: 6 | 2_Blotch_s4_000: 22
80) 2_Blotch_s4_001: 0 | 2_Blotch_s4_001: 9
81) 2_Blotch_s4_002: 0 | 2_Blotch_s4_002: 3
82) 2_Blotch_s4_003: 0 | 2_Blotch_s4_003: 2
83) 2_Blotch_s4_004: 0 | 2_Blotch_s4_004: 2
84) 2_Blotch_s4_005: 0 | 2_Blotch_s4_005: 2
85) 2_Blotch_s4_006: 0 | 2_Blotch_s4_006: 2
86) 2_Blotch_s4_007: 0 | 2_Blotch_s4_007: 2
87) 3_Incomp_Disc_s1_000: 0 | 3_Incomp_Disc_s1_000: 12
88) 3_Incomp_Disc_s3_000: 0 | 3_Incomp_Disc_s3_000: 7
89) 3_Incomp_Disc_s4_000: 4 | 3_Incomp_Disc_s4_000: 0
90) 4_Comp_Disc_s1_000: 0 | 4_Comp_Disc_s1_000: 8
91) 4_Comp_Disc_s2_000: 3711 | 4_Comp_Disc_s2_000: 6382
92) 4_Comp_Disc_s3_000: 4 | 4_Comp_Disc_s3_000: 0
93) 4_Comp_Disc_s4_000: 0 | 4_Comp_Disc_s4_000: 19
94) 5_Incomp_Donut_s0_000: 104 | 5_Incomp_Donut_s0_000: 0
95) 5_Incomp_Donut_s3_000: 0 | 5_Incomp_Donut_s3_000: 89
96) 6_Comp_Donut_s1_000: 2376 | 6_Comp_Donut_s1_000: 0
97) 6_Comp_Donut_s3_000: 1242 | 6_Comp_Donut_s3_000: 0
98) 6_Comp_Donut_s4_000: 817 | 6_Comp_Donut_s4_000: 0
99) 7_Excavated_s1_000: 21 | 7_Excavated_s1_000: 21
100) 7_Excavated_s3_000: 0 | 7_Excavated_s3_000: 13
