0) 0_Strip_s0_000: 99 | 0_Strip_s0_000: 0
1) 0_Strip_s1_000: 65 | 0_Strip_s1_000: 35
2) 0_Strip_s2_000: 173 | 0_Strip_s2_000: 188
3) 0_Strip_s2_001: 41 | 0_Strip_s2_001: 142
4) 0_Strip_s2_002: 0 | 0_Strip_s2_002: 30
5) 0_Strip_s2_003: 0 | 0_Strip_s2_003: 3
6) 0_Strip_s3_000: 4 | 0_Strip_s3_000: 0
7) 0_Strip_s4_000: 185 | 0_Strip_s4_000: 50
8) 0_Strip_s4_001: 31 | 0_Strip_s4_001: 41
9) 0_Strip_s4_002: 23 | 0_Strip_s4_002: 36
10) 0_Strip_s4_003: 14 | 0_Strip_s4_003: 32
11) 0_Strip_s4_004: 13 | 0_Strip_s4_004: 25
12) 0_Strip_s4_005: 0 | 0_Strip_s4_005: 9
13) 1_Default_s1_000: 0 | 1_Default_s1_000: 60
14) 1_Default_s1_001: 0 | 1_Default_s1_001: 20
15) 1_Default_s1_002: 0 | 1_Default_s1_002: 16
16) 1_Default_s1_003: 0 | 1_Default_s1_003: 7
17) 1_Default_s1_004: 0 | 1_Default_s1_004: 5
18) 1_Default_s2_000: 464 | 1_Default_s2_000: 434
19) 1_Default_s2_001: 122 | 1_Default_s2_001: 56
20) 1_Default_s2_002: 17 | 1_Default_s2_002: 35
21) 1_Default_s2_003: 12 | 1_Default_s2_003: 27
22) 1_Default_s2_004: 5 | 1_Default_s2_004: 11
23) 1_Default_s2_005: 4 | 1_Default_s2_005: 6
24) 1_Default_s2_006: 3 | 1_Default_s2_006: 5
25) 1_Default_s3_000: 36 | 1_Default_s3_000: 0
26) 1_Default_s3_001: 6 | 1_Default_s3_001: 0
27) 1_Default_s3_002: 5 | 1_Default_s3_002: 0
28) 1_Default_s3_003: 4 | 1_Default_s3_003: 0
29) 1_Default_s4_000: 1710 | 1_Default_s4_000: 84
30) 1_Default_s4_001: 241 | 1_Default_s4_001: 56
31) 1_Default_s4_002: 86 | 1_Default_s4_002: 44
32) 1_Default_s4_003: 55 | 1_Default_s4_003: 37
33) 1_Default_s4_004: 23 | 1_Default_s4_004: 27
34) 1_Default_s4_005: 13 | 1_Default_s4_005: 9
35) 1_Default_s4_006: 6 | 1_Default_s4_006: 5
36) 1_Default_s4_007: 5 | 1_Default_s4_007: 5
37) 1_Default_s4_008: 3 | 1_Default_s4_008: 3
38) 2_Blotch_s0_000: 0 | 2_Blotch_s0_000: 3
39) 2_Blotch_s1_000: 0 | 2_Blotch_s1_000: 20
40) 2_Blotch_s1_001: 0 | 2_Blotch_s1_001: 13
41) 2_Blotch_s1_002: 0 | 2_Blotch_s1_002: 4
42) 2_Blotch_s1_003: 0 | 2_Blotch_s1_003: 3
43) 2_Blotch_s1_004: 0 | 2_Blotch_s1_004: 3
44) 2_Blotch_s1_005: 0 | 2_Blotch_s1_005: 2
45) 2_Blotch_s2_000: 62 | 2_Blotch_s2_000: 153
46) 2_Blotch_s2_001: 13 | 2_Blotch_s2_001: 29
47) 2_Blotch_s2_002: 6 | 2_Blotch_s2_002: 17
48) 2_Blotch_s2_003: 3 | 2_Blotch_s2_003: 5
49) 2_Blotch_s2_004: 2 | 2_Blotch_s2_004: 4
50) 2_Blotch_s2_005: 2 | 2_Blotch_s2_005: 3
51) 2_Blotch_s2_006: 0 | 2_Blotch_s2_006: 2
52) 2_Blotch_s2_007: 0 | 2_Blotch_s2_007: 2
53) 2_Blotch_s2_008: 0 | 2_Blotch_s2_008: 2
54) 2_Blotch_s2_009: 0 | 2_Blotch_s2_009: 2
55) 2_Blotch_s2_010: 0 | 2_Blotch_s2_010: 2
56) 2_Blotch_s2_011: 0 | 2_Blotch_s2_011: 1
57) 2_Blotch_s3_000: 18 | 2_Blotch_s3_000: 0
58) 2_Blotch_s3_001: 8 | 2_Blotch_s3_001: 0
59) 2_Blotch_s3_002: 7 | 2_Blotch_s3_002: 0
60) 2_Blotch_s3_003: 6 | 2_Blotch_s3_003: 0
61) 2_Blotch_s3_004: 5 | 2_Blotch_s3_004: 0
62) 2_Blotch_s3_005: 4 | 2_Blotch_s3_005: 0
63) 2_Blotch_s3_006: 3 | 2_Blotch_s3_006: 0
64) 2_Blotch_s3_007: 3 | 2_Blotch_s3_007: 0
65) 2_Blotch_s3_008: 3 | 2_Blotch_s3_008: 0
66) 2_Blotch_s3_009: 2 | 2_Blotch_s3_009: 0
67) 2_Blotch_s3_010: 2 | 2_Blotch_s3_010: 0
