F0_I2,24,(38;118),-0.338043,Default
F0_I4,7,(88;125),-0.309178,Default
F0_I6,36,(22;134),-0.042323,Default
F0_I12,5,(108;32),-0.613926,Default
F0_I14,5,(117;47),0.047834,Strip
F0_I15,7,(118;59),-0.430528,Default
F0_I16,5,(114;60),-0.004622,Default
F0_I17,27,(111;71),-0.164003,Default
F0_I19,24,(119;76),-0.316574,Default
F0_I29,6379,(0;102),0.298721,Incomp-Donut
F0_I30,4,(57;101),-0.151461,Default
F0_I32,510,(100;15),0.060181,Strip
F0_I34,3,(18;30),-0.410340,Default
F0_I38,14,(93;38),0.069058,Blotch
F0_I40,41,(118;40),0.400633,Default
F0_I41,33,(75;42),-0.530682,Default
F0_I47,10,(125;76),-0.286927,Default
F0_I48,29,(104;90),-0.133406,Default
F0_I50,22,(1;105),0.107408,Incomp-Disc
F0_I52,11,(63;113),0.138361,Default
F0_I55,6,(13;121),-0.398273,Default
F0_I56,47,(52;126),-0.083545,Default
